,Primary Instructor,Course Title,Number,YearTerm,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course,ACP,CS,HUM,NAT,QR,SBS
0,"Aber, Mark S",Community Psych,239.0,2019-fa,0.0,43.0,10.0,7.0,10.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,PSYC 239,,,,,,SS
1,"Acar, Asena",World Religions,110.0,2018-fa,36.0,28.0,4.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHIL 110,,NW,HP,,,
2,"Acar, Asena",World Religions,110.0,2018-fa,36.0,28.0,4.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REL 110,,NW,HP,,,
3,"Djordjevic, Stefan",World Religions,110.0,2018-fa,7.0,21.0,18.0,8.0,12.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,PHIL 110,,NW,HP,,,
4,"Djordjevic, Stefan",World Religions,110.0,2018-fa,7.0,21.0,18.0,8.0,12.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,REL 110,,NW,HP,,,
5,"Ellingson, Hannah G",World Religions,110.0,2018-fa,23.0,13.0,5.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,PHIL 110,,NW,HP,,,
6,"Ellingson, Hannah G",World Religions,110.0,2018-fa,23.0,13.0,5.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,REL 110,,NW,HP,,,
7,"Kosovych, Stefan D",World Religions,110.0,2018-fa,26.0,21.0,18.0,7.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PHIL 110,,NW,HP,,,
8,"Kosovych, Stefan D",World Religions,110.0,2018-fa,26.0,21.0,18.0,7.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,REL 110,,NW,HP,,,
9,"Ott, Beau C",World Religions,110.0,2018-fa,32.0,22.0,15.0,4.0,5.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,PHIL 110,,NW,HP,,,
10,"Ott, Beau C",World Religions,110.0,2018-fa,32.0,22.0,15.0,4.0,5.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,REL 110,,NW,HP,,,
11,"Scheele, Genevieve V",World Religions,110.0,2018-fa,18.0,28.0,4.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,PHIL 110,,NW,HP,,,
12,"Scheele, Genevieve V",World Religions,110.0,2018-fa,18.0,28.0,4.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,REL 110,,NW,HP,,,
13,"Acar, Asena",World Religions,110.0,2019-fa,32.0,29.0,8.0,5.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,PHIL 110,,NW,HP,,,
14,"Acar, Asena",World Religions,110.0,2019-fa,32.0,29.0,8.0,5.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,REL 110,,NW,HP,,,
15,"Crane, Benjamin W",World Religions,110.0,2019-fa,20.0,11.0,11.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,PHIL 110,,NW,HP,,,
16,"Crane, Benjamin W",World Religions,110.0,2019-fa,20.0,11.0,11.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,REL 110,,NW,HP,,,
17,"Folkenroth, Emma",World Religions,110.0,2019-fa,18.0,15.0,3.0,5.0,3.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,PHIL 110,,NW,HP,,,
18,"Folkenroth, Emma",World Religions,110.0,2019-fa,18.0,15.0,3.0,5.0,3.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,REL 110,,NW,HP,,,
